,,,,SIDE 1,,,,,,,,,,,SIDE 1,,,,,,,,,,,Wire,,,,,COGS
SKU,IPN,Pin Count,Pack Size,Family 1,Connector,MPN,Cost,Qty,Ext Cost,Crimp,MPN,Cost,Qty,Ext Cost,Family 2,Connector,MPN,Cost,Qty,Ext Cost,Crimp,MPN,Cost,Qty,Ext Cost,Spec,Cost per Foot,Length,Qty (feet),Ext Cost,Material
MPA-UF3-4p-F-F-12in-2pk,wavy-roof-sing,4,2,UF3,"(UF3) 2x2 Conn, Rec",0430250400,$0.29,2,$0.58,(UF3) F Crimp for Rec,0430300001,$0.04,8,$0.33,UF3,"(UF3) 2x2 Conn, Rec",0430250400,$0.29,2,$0.58,(UF3) F Crimp for Rec,0430300001,$0.04,8,$0.33,"20 AWG, Silicone, Black",$0.10,12in,8.8,$0.88,$2.69
MPA-UF3-6p-F-F-6in-2pk,weird-room-sip,6,2,UF3,"(UF3) 2x3 Conn, Rec",0430250600,$0.36,2,$0.73,(UF3) F Crimp for Rec,0430300001,$0.04,12,$0.49,UF3,"(UF3) 2x3 Conn, Rec",0430250600,$0.36,2,$0.73,(UF3) F Crimp for Rec,0430300001,$0.04,12,$0.49,"20 AWG, Silicone, Black",$0.10,6in,6.6,$0.66,$3.09
MPA-UF3-6p-F-F-12in-2pk,whiny-root-sit,6,2,UF3,"(UF3) 2x3 Conn, Rec",0430250600,$0.36,2,$0.73,(UF3) F Crimp for Rec,0430300001,$0.04,12,$0.49,UF3,"(UF3) 2x3 Conn, Rec",0430250600,$0.36,2,$0.73,(UF3) F Crimp for Rec,0430300001,$0.04,12,$0.49,"20 AWG, Silicone, Black",$0.10,12in,13.2,$1.32,$3.75
MPA-UF3-8p-F-F-6in-2pk,windy-rose-ski,8,2,UF3,"(UF3) 2x4 Conn, Rec",0430250800,$0.41,2,$0.83,(UF3) F Crimp for Rec,0430300001,$0.04,16,$0.65,UF3,"(UF3) 2x4 Conn, Rec",0430250800,$0.41,2,$0.83,(UF3) F Crimp for Rec,0430300001,$0.04,16,$0.65,"20 AWG, Silicone, Black",$0.10,6in,8.8,$0.88,$3.84
MPA-UF3-8p-F-F-12in-2pk,zany-rug-skip,8,2,UF3,"(UF3) 2x4 Conn, Rec",0430250800,$0.41,2,$0.83,(UF3) F Crimp for Rec,0430300001,$0.04,16,$0.65,UF3,"(UF3) 2x4 Conn, Rec",0430250800,$0.41,2,$0.83,(UF3) F Crimp for Rec,0430300001,$0.04,16,$0.65,"20 AWG, Silicone, Black",$0.10,12in,17.6,$1.76,$4.72
MPA-UF3-2p-F-M-6in-2pk,zesty-sand-sleep,2,2,UF3,"(UF3) 2x1 Conn, Rec",0430250200,$0.23,2,$0.46,(UF3) F Crimp for Rec,0430300001,$0.04,4,$0.16,UF3,"(UF3) 2x1 Conn, Plug",0430200201,$0.24,2,$0.48,(UF3) M Crimp for Plug,0430310001,$0.04,4,$0.16,"20 AWG, Silicone, Black",$0.10,6in,2.2,$0.22,$1.49
MPA-UF3-2p-F-M-12in-2pk,alert-school-slide,2,2,UF3,"(UF3) 2x1 Conn, Rec",0430250200,$0.23,2,$0.46,(UF3) F Crimp for Rec,0430300001,$0.04,4,$0.16,UF3,"(UF3) 2x1 Conn, Plug",0430200201,$0.24,2,$0.48,(UF3) M Crimp for Plug,0430310001,$0.04,4,$0.16,"20 AWG, Silicone, Black",$0.10,12in,4.4,$0.44,$1.71
MPA-UF3-4p-F-M-6in-2pk,bitter-seed-smile,4,2,UF3,"(UF3) 2x2 Conn, Rec",0430250400,$0.29,2,$0.58,(UF3) F Crimp for Rec,0430300001,$0.04,8,$0.33,UF3,"(UF3) 2x2 Conn, Plug",0430200401,$0.30,2,$0.61,(UF3) M Crimp for Plug,0430310001,$0.04,8,$0.33,"20 AWG, Silicone, Black",$0.10,6in,4.4,$0.44,$2.28
MPA-UF3-4p-F-M-12in-2pk,bland-sheep-snore,4,2,UF3,"(UF3) 2x2 Conn, Rec",0430250400,$0.29,2,$0.58,(UF3) F Crimp for Rec,0430300001,$0.04,8,$0.33,UF3,"(UF3) 2x2 Conn, Plug",0430200401,$0.30,2,$0.61,(UF3) M Crimp for Plug,0430310001,$0.04,8,$0.33,"20 AWG, Silicone, Black",$0.10,12in,8.8,$0.88,$2.72
MPA-UF3-6p-F-M-6in-2pk,blunt-shirt-snort,6,2,UF3,"(UF3) 2x3 Conn, Rec",0430250600,$0.36,2,$0.73,(UF3) F Crimp for Rec,0430300001,$0.04,12,$0.49,UF3,"(UF3) 2x3 Conn, Plug",0430200601,$0.36,2,$0.73,(UF3) M Crimp for Plug,0430310001,$0.04,12,$0.49,"20 AWG, Silicone, Black",$0.10,6in,6.6,$0.66,$3.09
