,,,,,,,,,Labor Cost,,,,,,FBA Costs,,,,,
SKU,IPN,Pin Count,Pack Size,Sale Price,Delivered Cost,Profit Margin,Packaging,Parts Cost,Labor Total,Cut,Crimp,Insert,QC,Pack,FBA Total,Referral,Fulfillment,Inbounding,Storage,Labor Time
MPA-UF3-2p-M-M-6in-2pk,charming-snake-spill,2,2,$10.99,$7.07,35.65%,$0.30,$1.51,$2.75,$0.33,$0.67,$1.00,$0.50,$0.25,$5.26,$1.65,$3.06,$0.30,$0.25,0.09
MPA-UF3-2p-M-M-12in-2pk,clumsy-snow-spin,2,2,$10.99,$7.29,33.65%,$0.30,$1.73,$2.75,$0.33,$0.67,$1.00,$0.50,$0.25,$5.26,$1.65,$3.06,$0.30,$0.25,0.09
MPA-UF3-4p-M-M-6in-2pk,cozy-sock-spit,4,2,$13.99,$8.31,40.58%,$0.30,$2.30,$4.75,$0.67,$1.33,$2.00,$0.50,$0.25,$5.71,$2.10,$3.06,$0.30,$0.25,0.16
MPA-UF3-4p-M-M-12in-2pk,crooked-spoon-splash,4,2,$14.99,$8.90,40.61%,$0.30,$2.74,$4.75,$0.67,$1.33,$2.00,$0.50,$0.25,$5.86,$2.25,$3.06,$0.30,$0.25,0.16
MPA-UF3-6p-M-M-6in-2pk,curly-star-sprint,6,2,$17.99,$9.70,46.07%,$0.30,$3.09,$6.75,$1.00,$2.00,$3.00,$0.50,$0.25,$6.31,$2.70,$3.06,$0.30,$0.25,0.23
MPA-UF3-6p-M-M-12in-2pk,damaged-stone-squeeze,6,2,$18.99,$10.51,44.64%,$0.30,$3.75,$6.75,$1.00,$2.00,$3.00,$0.50,$0.25,$6.46,$2.85,$3.06,$0.30,$0.25,0.23
MPA-UF3-8p-M-M-6in-2pk,damp-store-stand,8,2,$20.99,$10.90,48.07%,$0.30,$3.84,$8.75,$1.33,$2.67,$4.00,$0.50,$0.25,$6.76,$3.15,$3.06,$0.30,$0.25,0.29
MPA-UF3-8p-M-M-12in-2pk,daring-storm-stir,8,2,$21.99,$11.93,45.75%,$0.30,$4.72,$8.75,$1.33,$2.67,$4.00,$0.50,$0.25,$6.91,$3.30,$3.06,$0.30,$0.25,0.29
MPA-DDT-2p-F-F-6in-2pk,deadly-sun-stop,2,2,$12.99,$9.47,27.07%,$0.30,$3.62,$2.75,$0.33,$0.67,$1.00,$0.50,$0.25,$5.56,$1.95,$3.06,$0.30,$0.25,0.09
MPA-DDT-2p-F-F-12in-2pk,deep-table-stretch,2,2,$13.99,$9.84,29.64%,$0.30,$3.84,$2.75,$0.33,$0.67,$1.00,$0.50,$0.25,$5.71,$2.10,$3.06,$0.30,$0.25,0.09
